Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
Lightning2,0.6363636363636364,0.6363636363636364,0.5950413223140496,0.7107438016528925
Lightning7,0.46153846153846156,0.5104895104895105,0.5454545454545454,0.5244755244755245
Mallat,0.7983333333333333,0.82125,0.7845833333333333,0.6833333333333333
Meat,0.5416666666666666,0.65,0.6166666666666667,0.8583333333333333
MedicalImages,0.2979842243645925,0.30499561787905344,0.32690622261174407,0.31463628396143734
MiddlePhalanxOutlineAgeGroup,0.6570397111913358,0.6570397111913358,0.5505415162454874,0.6678700361010831
MiddlePhalanxOutlineCorrect,0.5140291806958474,0.5129068462401796,0.500561167227834,0.5117845117845118
MiddlePhalanxTW,0.6057866184448463,0.45750452079566006,0.4213381555153707,0.4014466546112116
MoteStrain,0.8105345911949685,0.8852201257861635,0.5833333333333334,0.8930817610062893
OSULeaf,0.3891402714932127,0.5248868778280543,0.36877828054298645,0.3891402714932127
OliveOil,0.55,0.6833333333333333,0.7166666666666667,0.7833333333333333
PhalangesOutlinesCorrect,0.5522949586155004,0.5526711813393529,0.5451467268623025,0.547027840481565
Plane,0.8333333333333334,0.7,0.8285714285714286,0.7952380952380952
PowerCons,0.5805555555555556,0.5277777777777778,0.5777777777777777,0.8388888888888889
ProximalPhalanxOutlineAgeGroup,0.6,0.6,0.7818181818181819,0.6016528925619835
ProximalPhalanxOutlineCorrect,0.6307519640852974,0.6307519640852974,0.6172839506172839,0.6285072951739619
ProximalPhalanxTW,0.4479338842975207,0.5024793388429752,0.6231404958677685,0.6479338842975206
Rock,0.5,0.6714285714285714,0.44285714285714284,0.5571428571428572
ScreenType,0.39866666666666667,0.392,0.41733333333333333,0.42
ShapesAll,0.5066666666666667,0.5133333333333333,0.4475,0.5458333333333333
SmoothSubspace,0.69,0.47333333333333333,0.6633333333333333,0.5766666666666667
SonyAIBORobotSurface1,0.7020933977455717,0.8582930756843801,0.927536231884058,0.8663446054750402
SonyAIBORobotSurface2,0.7836734693877551,0.7112244897959183,0.6632653061224489,0.773469387755102
StarLightCurves,0.761801645734084,0.7545474231268947,0.7339757470766566,0.7603941100043309
Strawberry,0.5483214649033571,0.5483214649033571,0.5218718209562564,0.5493387589013224
SwedishLeaf,0.35644444444444445,0.4088888888888889,0.4062222222222222,0.5368888888888889
Symbols,0.6784313725490196,0.7421568627450981,0.807843137254902,0.75
SyntheticControl,0.68,0.5616666666666666,0.7533333333333333,0.56
ToeSegmentation1,0.5149253731343284,0.5111940298507462,0.5485074626865671,0.5335820895522388
ToeSegmentation2,0.5301204819277109,0.7831325301204819,0.5301204819277109,0.5301204819277109
Trace,0.485,0.44,0.755,0.48
TwoLeadECG,0.5344234079173839,0.6643717728055077,0.6764199655765921,0.6643717728055077
UMD,0.4777777777777778,0.42777777777777776,0.5888888888888889,0.5
UWaveGestureLibraryX,0.5567217507815989,0.5739169271996427,0.6384546672621706,0.578383206788745
UWaveGestureLibraryY,0.5154086645824029,0.45958016971862437,0.46114336757481017,0.5133988387673069
UWaveGestureLibraryZ,0.49374720857525684,0.5026797677534613,0.5138454667262171,0.5185350602947745
Wafer,0.6330262423227248,0.6376326074818537,0.631211613623674,0.6319095477386935
Wine,0.5225225225225225,0.5225225225225225,0.5225225225225225,0.5225225225225225
WordSynonyms,0.2662983425414365,0.36464088397790057,0.36353591160220994,0.41104972375690607
Worms,0.2751937984496124,0.32170542635658916,0.40310077519379844,0.39147286821705424
WormsTwoClass,0.5503875968992248,0.5155038759689923,0.5232558139534884,0.5465116279069767
Yoga,0.5060606060606061,0.5106060606060606,0.5781818181818181,0.5036363636363637
