Estimators:,k-AVG,k-Shape,soft-DBA,soft-MBA
UMD,0.20121478945166438,0.12174858284182674,0.31497157305402523,0.26145199333661745
UWaveGestureLibraryX,0.4401849775903998,0.48123920333782266,0.49873030515074906,0.45882477834716784
UWaveGestureLibraryY,0.4356371822137276,0.36186595203984717,0.4057210169652136,0.45899463236588195
UWaveGestureLibraryZ,0.41444045209218516,0.46453190944745476,0.4729773864154779,0.4495322387836422
Wafer,0.0001263179123237744,0.0015445971786887368,2.162708883790014e-15,1.880466189122233e-05
Wine,0.0010564787158772687,0.0010564787158772687,0.0010564787158772687,0.0010603979133340762
WordSynonyms,0.4340597456298976,0.4737976379037145,0.4969054156041711,0.5480196637293088
Worms,0.0493147737105211,0.08627183646276104,0.1859547958047875,0.14111167290730325
WormsTwoClass,0.006231142711748857,0.0005602760023515553,0.004966553066250351,0.022924479210409427
Yoga,0.0007344300904370716,0.00018453107961746208,0.014901596854331256,0.00010223543746688582
