dataset,DBA,MBA,soft-DBA-hard-dist-gamma-1.0,soft-DBA-hard-dist-gamma-0.1,soft-DBA-hard-dist-gamma-0.01,soft-DBA-hard-dist-gamma-0.001,soft-MBA-hard-dist-gamma-1.0,soft-MBA-hard-dist-gamma-0.1,soft-MBA-hard-dist-gamma-0.01,soft-MBA-hard-dist-gamma-0.001
DistalPhalanxOutlineAgeGroup,251.496,3610.059,502.048,301.631,254.682,250.334,4456.986,3598.791,3601.264,3601.28
DistalPhalanxTW,198.11,3087.694,481.047,269.058,203.288,197.102,3928.754,3084.262,3090.333,3092.28
Earthquakes,31873.931,121615.294,81792.808,32280.212,31755.389,31824.686,,,114325.1,
ECG200,1036.799,6112.239,1300.55,1067.237,1035.316,944.026,5622.591,5115.907,5121.888,6014.317
ECG5000,31842.446,155293.555,38504.26,32990.105,31832.225,31626.885,,150473.193,150592.813,150610.469
ECGFiveDays,5971.84,22110.374,5899.8,6273.191,5991.973,5892.525,29867.32,21756.043,21767.807,21807.335
ElectricDevices,341538.75,738105.075,491539.769,349125.826,338816.7,335959.419,,,,
EOGHorizontalSignal,10877.275,257738.712,33189.595,,10577.977,10041.132,,236949.556,237586.74,237631.057
EOGVerticalSignal,13171.509,278929.296,34610.415,16138.463,,12590.644,,259916.348,259968.2,259171.837
EthanolLevel,399.918,74176.796,1250.487,1046.117,641.64,430.338,,74681.685,75785.881,75851.783
FaceAll,29028.291,104758.951,39932.246,28692.815,28555.63,28962.554,116023.927,101877.805,101905.37,101936.627
FaceFour,2653.879,12051.275,2982.573,2600.378,2586.872,2596.184,13372.026,11307.577,11302.449,11306.645
FacesUCR,29040.742,106996.837,38150.771,28759.111,28149.555,28163.493,115997.573,101357.485,101536.342,101527.246
FiftyWords,3260.857,69254.443,4929.424,3314.006,2955.533,2993.049,,64142.334,64043.842,64207.943
Fish,136.869,14395.68,299.47,195.167,146.248,135.05,17354.761,14267.588,14311.201,14097.823
FordA,245561.403,1241112.747,,248273.905,,243804.666,,,,
FordB,239473.659,1185621.579,,239548.19,235172.801,236582.293,,,,
FreezerRegularTrain,21609.67,177516.886,32920.376,23225.877,22538.416,21463.831,,175139.994,176638.962,176531.667
FreezerSmallTrain,20690.774,169314.169,32891.037,25261.936,21625.769,20520.249,,167845.11,168415.28,168744.268
GunPoint,183.285,5887.909,471.324,345.001,197.716,182.356,6889.664,5756.574,5810.012,5813.77
GunPointAgeSpan,456.241,19215.358,1020.918,744.067,483.605,454.251,21310.374,18246.812,18338.388,18355.983
GunPointMaleVersusFemale,450.372,19195.336,1020.918,826.126,460.543,437.469,21518.122,18245.966,18339.623,18355.983
GunPointOldVersusYoung,450.372,19215.358,1020.918,826.126,460.574,437.449,21487.061,18247.264,18339.694,18355.983
Ham,4020.841,24674.989,5346.514,4282.497,4019.311,3970.414,26548.595,24335.353,24385.209,24385.791
HandOutlines,4465.557,328554.129,13121.306,10062.812,,3546.793,,,322879.709,323072.252
Haptics,2754.881,90911.535,5964.534,3676.784,2843.697,2673.575,101178.185,87896.156,88264.451,88312.339
Herring,84.912,6833.77,177.248,127.06,88.94,83.991,8172.016,6807.328,6837.993,6839.534
HouseTwenty,34263.413,160816.145,40228.528,32678.692,31529.739,32822.345,157628.686,137021.953,137255.026,137313.178
InlineSkate,,260875.938,16092.027,7246.983,4317.906,3697.703,300374.696,251030.53,256156.059,256209.709
InsectEPGRegularTrain,7373.117,74180.809,11716.896,7909.132,7010.268,6910.682,76314.093,68680.948,68809.652,68837.775
InsectEPGSmallTrain,6052.048,63169.936,9719.683,6510.016,5919.455,5877.176,64215.433,58549.7,58717.89,58730.293
InsectWingbeatSound,13271.859,135527.849,20463.073,14564.299,13066.051,12558.609,,126438.122,125869.665,125921.814
ItalyPowerDemand,1522.879,6530.499,2106.559,1590.688,1511.446,1509.041,6886.948,6541.857,6545.115,6543.539
LargeKitchenAppliances,60500.389,126950.864,67892.836,61819.56,62807.052,60472.649,,78988.223,83693.831,84485.997
Lightning2,6712.77,28969.9,7916.517,6790.492,6491.138,6425.654,29335.544,27547.867,27769.604,27789.638
Lightning7,3803.241,13290.67,4409.865,3871.651,3597.462,3396.023,13904.993,12757.955,12793.434,12783.272
Mallat,6222.899,238798.493,15871.364,9554.018,6736.372,6174.49,,238306.748,238444.205,238450.423
Meat,4.219,536.01,28.848,11.196,10.85,4.894,2404.68,536.011,536.011,536.011
